지역명,전용면적,연도,월,평당분양가격
서울,60m²~85m²,2016,1,19918.8
서울,85m²~102m²,2016,1,21492.899999999998
서울,102m²~,2016,1,21618.3
인천,모든면적,2016,1,10530.3
인천,60m²,2016,1,10982.4
인천,60m²~85m²,2016,1,10263.0
인천,85m²~102m²,2016,1,11698.5
인천,102m²~,2016,1,11246.4
경기,모든면적,2016,1,10553.4
경기,60m²,2016,1,10866.9
경기,60m²~85m²,2016,1,10932.9
경기,85m²~102m²,2016,1,11385.0
경기,102m²~,2016,1,12705.0
부산,모든면적,2016,1,10401.599999999999
부산,60m²,2016,1,9738.3
부산,60m²~85m²,2016,1,10088.1
부산,85m²~102m²,2016,1,9758.1
부산,102m²~,2016,1,12579.599999999999
대구,모든면적,2016,1,10183.8
대구,60m²,2016,1,11025.3
대구,60m²~85m²,2016,1,10239.9
대구,85m²~102m²,2016,1,8355.6
대구,102m²~,2016,1,9051.9
광주,모든면적,2016,1,8477.699999999999
광주,60m²,2016,1,7903.5
광주,60m²~85m²,2016,1,8520.6
광주,85m²~102m²,2016,1,
광주,102m²~,2016,1,
대전,모든면적,2016,1,8098.2
대전,60m²,2016,1,8530.5
대전,60m²~85m²,2016,1,8012.4
대전,85m²~102m²,2016,1,8121.299999999999
대전,102m²~,2016,1,
울산,모든면적,2016,1,10051.8
울산,60m²,2016,1,8527.199999999999
울산,60m²~85m²,2016,1,10074.9
울산,85m²~102m²,2016,1,8787.9
울산,102m²~,2016,1,9484.199999999999
세종,모든면적,2016,1,8794.5
세종,60m²,2016,1,8583.3
세종,60m²~85m²,2016,1,8830.8
세종,85m²~102m²,2016,1,8781.3
세종,102m²~,2016,1,9081.6
강원,모든면적,2016,1,7170.9
강원,60m²,2016,1,7557.0
강원,60m²~85m²,2016,1,7256.7
강원,85m²~102m²,2016,1,6801.299999999999
강원,102m²~,2016,1,7164.299999999999
충북,모든면적,2016,1,6626.4
충북,60m²,2016,1,6441.599999999999
충북,60m²~85m²,2016,1,6669.299999999999
충북,85m²~102m²,2016,1,7510.799999999999
충북,102m²~,2016,1,7461.299999999999
충남,모든면적,2016,1,7491.0
충남,60m²,2016,1,8187.299999999999
충남,60m²~85m²,2016,1,7527.299999999999
충남,85m²~102m²,2016,1,8385.3
충남,102m²~,2016,1,8065.2
전북,모든면적,2016,1,6534.0
전북,60m²,2016,1,6296.4
전북,60m²~85m²,2016,1,6557.099999999999
전북,85m²~102m²,2016,1,7844.099999999999
전북,102m²~,2016,1,7530.599999999999
전남,모든면적,2016,1,6299.7
전남,60m²,2016,1,6596.7
전남,60m²~85m²,2016,1,6289.799999999999
전남,85m²~102m²,2016,1,7464.599999999999
전남,102m²~,2016,1,7180.799999999999
경북,모든면적,2016,1,7197.299999999999
경북,60m²,2016,1,7187.4
경북,60m²~85m²,2016,1,7210.5
경북,85m²~102m²,2016,1,8302.8
경북,102m²~,2016,1,7741.799999999999
경남,모든면적,2016,1,7679.099999999999
경남,60m²,2016,1,7491.0
경남,60m²~85m²,2016,1,7748.4
경남,85m²~102m²,2016,1,9652.5
경남,102m²~,2016,1,9332.4
제주,모든면적,2016,1,7484.4
제주,60m²,2016,1,
제주,60m²~85m²,2016,1,7458.0
제주,85m²~102m²,2016,1,8523.9
제주,102m²~,2016,1,8494.199999999999
서울,모든면적,2016,2,20166.3
서울,60m²,2016,2,21245.399999999998
서울,60m²~85m²,2016,2,19928.7
서울,85m²~102m²,2016,2,21492.899999999998
서울,102m²~,2016,2,21311.399999999998
인천,모든면적,2016,2,10533.599999999999
인천,60m²,2016,2,10982.4
인천,60m²~85m²,2016,2,10269.599999999999
인천,85m²~102m²,2016,2,11698.5
인천,102m²~,2016,2,11246.4
경기,모든면적,2016,2,10622.699999999999
경기,60m²,2016,2,10870.199999999999
경기,60m²~85m²,2016,2,10784.4
경기,85m²~102m²,2016,2,11157.3
경기,102m²~,2016,2,12107.699999999999
부산,모든면적,2016,2,10408.199999999999
부산,60m²,2016,2,9896.699999999999
부산,60m²~85m²,2016,2,10098.0
부산,85m²~102m²,2016,2,9758.1
부산,102m²~,2016,2,12579.599999999999
대구,모든면적,2016,2,10111.199999999999
대구,60m²,2016,2,11025.3
대구,60m²~85m²,2016,2,10160.699999999999
대구,85m²~102m²,2016,2,8355.6
대구,102m²~,2016,2,9051.9
광주,모든면적,2016,2,8477.699999999999
광주,60m²,2016,2,7903.5
광주,60m²~85m²,2016,2,8520.6
광주,85m²~102m²,2016,2,
광주,102m²~,2016,2,
대전,모든면적,2016,2,8098.2
대전,60m²,2016,2,8530.5
대전,60m²~85m²,2016,2,8012.4
대전,85m²~102m²,2016,2,8121.299999999999
대전,102m²~,2016,2,
울산,모든면적,2016,2,10051.8
울산,60m²,2016,2,8527.199999999999
울산,60m²~85m²,2016,2,10074.9
울산,85m²~102m²,2016,2,8787.9
울산,102m²~,2016,2,9484.199999999999
세종,모든면적,2016,2,8794.5
세종,60m²,2016,2,8583.3
세종,60m²~85m²,2016,2,8830.8
세종,85m²~102m²,2016,2,8781.3
세종,102m²~,2016,2,9081.6
강원,모든면적,2016,2,7170.9
강원,60m²,2016,2,7557.0
강원,60m²~85m²,2016,2,7260.0
강원,85m²~102m²,2016,2,
강원,102m²~,2016,2,7755.0
충북,모든면적,2016,2,6626.4
충북,60m²,2016,2,6441.599999999999
충북,60m²~85m²,2016,2,6669.299999999999
충북,85m²~102m²,2016,2,7510.799999999999
충북,102m²~,2016,2,7461.299999999999
충남,모든면적,2016,2,7497.599999999999
충남,60m²,2016,2,8236.8
충남,60m²~85m²,2016,2,7530.599999999999
충남,85m²~102m²,2016,2,8385.3
충남,102m²~,2016,2,8065.2
전북,모든면적,2016,2,6534.0
전북,60m²,2016,2,6296.4
전북,60m²~85m²,2016,2,6557.099999999999
전북,85m²~102m²,2016,2,7844.099999999999
전북,102m²~,2016,2,7533.9
전남,모든면적,2016,2,6345.9
전남,60m²,2016,2,6596.7
전남,60m²~85m²,2016,2,6339.299999999999
전남,85m²~102m²,2016,2,7464.599999999999
전남,102m²~,2016,2,7180.799999999999
경북,모든면적,2016,2,7190.7
경북,60m²,2016,2,7167.599999999999
경북,60m²~85m²,2016,2,7230.299999999999
경북,85m²~102m²,2016,2,8355.6
경북,102m²~,2016,2,7741.799999999999
경남,모든면적,2016,2,7781.4
경남,60m²,2016,2,7791.299999999999
경남,60m²~85m²,2016,2,7837.5
경남,85m²~102m²,2016,2,9652.5
경남,102m²~,2016,2,8820.9
제주,모든면적,2016,2,7484.4
제주,60m²,2016,2,
제주,60m²~85m²,2016,2,7458.0
제주,85m²~102m²,2016,2,8523.9
